asset,time,FeeMeanUSD
ltc,2013-04-01 00:00:00+00:00,0.098602072
ltc,2013-04-02 00:00:00+00:00,0.292906769
ltc,2013-04-03 00:00:00+00:00,0.286618928
ltc,2013-04-04 00:00:00+00:00,0.373786559
ltc,2013-04-05 00:00:00+00:00,0.263019309
ltc,2013-04-06 00:00:00+00:00,0.280704508
ltc,2013-04-07 00:00:00+00:00,0.216826904
ltc,2013-04-08 00:00:00+00:00,0.302737899
ltc,2013-04-09 00:00:00+00:00,0.310909599
ltc,2013-04-10 00:00:00+00:00,0.250309303
ltc,2013-04-11 00:00:00+00:00,0.210830658
ltc,2013-04-12 00:00:00+00:00,0.08743223
ltc,2013-04-13 00:00:00+00:00,0.184331175
ltc,2013-04-14 00:00:00+00:00,0.144738318
ltc,2013-04-15 00:00:00+00:00,0.126168811
ltc,2013-04-16 00:00:00+00:00,0.116703839
ltc,2013-04-17 00:00:00+00:00,0.164004977
ltc,2013-04-18 00:00:00+00:00,0.146907233
ltc,2013-04-19 00:00:00+00:00,0.180208777
ltc,2013-04-20 00:00:00+00:00,0.2149807
ltc,2013-04-21 00:00:00+00:00,0.176630891
ltc,2013-04-22 00:00:00+00:00,0.184270616
ltc,2013-04-23 00:00:00+00:00,0.250160467
ltc,2013-04-24 00:00:00+00:00,0.244959903
ltc,2013-04-25 00:00:00+00:00,0.302102287
ltc,2013-04-26 00:00:00+00:00,0.278088073
ltc,2013-04-27 00:00:00+00:00,0.28345115
ltc,2013-04-28 00:00:00+00:00,0.30272404
ltc,2013-04-29 00:00:00+00:00,0.322828805
ltc,2013-04-30 00:00:00+00:00,0.378765635
ltc,2013-05-01 00:00:00+00:00,0.307331018
ltc,2013-05-02 00:00:00+00:00,0.213144523
ltc,2013-05-03 00:00:00+00:00,0.166689612
ltc,2013-05-04 00:00:00+00:00,0.168165826
ltc,2013-05-05 00:00:00+00:00,0.149473906
ltc,2013-05-06 00:00:00+00:00,0.194387288
ltc,2013-05-07 00:00:00+00:00,0.17802214
ltc,2013-05-08 00:00:00+00:00,0.175792776
ltc,2013-05-09 00:00:00+00:00,0.24813828
ltc,2013-05-10 00:00:00+00:00,0.225278736
ltc,2013-05-11 00:00:00+00:00,0.194161702
ltc,2013-05-12 00:00:00+00:00,0.180363886
ltc,2013-05-13 00:00:00+00:00,0.175877235
ltc,2013-05-14 00:00:00+00:00,0.186028176
ltc,2013-05-15 00:00:00+00:00,0.15578721
ltc,2013-05-16 00:00:00+00:00,0.128801405
ltc,2013-05-17 00:00:00+00:00,0.189663634
ltc,2013-05-18 00:00:00+00:00,0.146594228
ltc,2013-05-19 00:00:00+00:00,0.151110854
ltc,2013-05-20 00:00:00+00:00,0.176482509
ltc,2013-05-21 00:00:00+00:00,0.176173862
ltc,2013-05-22 00:00:00+00:00,0.160831495
ltc,2013-05-23 00:00:00+00:00,0.169090169
ltc,2013-05-24 00:00:00+00:00,0.16705862
ltc,2013-05-25 00:00:00+00:00,0.164644791
ltc,2013-05-26 00:00:00+00:00,0.18085277
ltc,2013-05-27 00:00:00+00:00,0.155026071
ltc,2013-05-28 00:00:00+00:00,0.150093212
ltc,2013-05-29 00:00:00+00:00,0.160518278
ltc,2013-05-30 00:00:00+00:00,0.16150794
ltc,2013-05-31 00:00:00+00:00,0.142351873
ltc,2013-06-01 00:00:00+00:00,0.149456112
ltc,2013-06-02 00:00:00+00:00,0.128645064
ltc,2013-06-03 00:00:00+00:00,0.153771647
ltc,2013-06-04 00:00:00+00:00,0.155022853
ltc,2013-06-05 00:00:00+00:00,0.166470705
ltc,2013-06-06 00:00:00+00:00,0.141245089
ltc,2013-06-07 00:00:00+00:00,0.18907068
ltc,2013-06-08 00:00:00+00:00,0.137540289
ltc,2013-06-09 00:00:00+00:00,0.126357011
ltc,2013-06-10 00:00:00+00:00,0.135268501
ltc,2013-06-11 00:00:00+00:00,0.154987114
ltc,2013-06-12 00:00:00+00:00,0.130416053
ltc,2013-06-13 00:00:00+00:00,0.127587024
ltc,2013-06-14 00:00:00+00:00,0.117974435
ltc,2013-06-15 00:00:00+00:00,0.116875902
ltc,2013-06-16 00:00:00+00:00,0.116287541
ltc,2013-06-17 00:00:00+00:00,0.119858195
ltc,2013-06-18 00:00:00+00:00,0.147058183
ltc,2013-06-19 00:00:00+00:00,0.129558378
ltc,2013-06-20 00:00:00+00:00,0.097259246
ltc,2013-06-21 00:00:00+00:00,0.08150262
ltc,2013-06-22 00:00:00+00:00,0.081787951
ltc,2013-06-23 00:00:00+00:00,0.071172539
ltc,2013-06-24 00:00:00+00:00,0.066423266
ltc,2013-06-25 00:00:00+00:00,0.065002287
ltc,2013-06-26 00:00:00+00:00,0.084748018
ltc,2013-06-27 00:00:00+00:00,0.077389595
ltc,2013-06-28 00:00:00+00:00,0.053759889
ltc,2013-06-29 00:00:00+00:00,0.050370834
ltc,2013-06-30 00:00:00+00:00,0.060083903
ltc,2013-07-01 00:00:00+00:00,0.073219766
ltc,2013-07-02 00:00:00+00:00,0.043624265
ltc,2013-07-03 00:00:00+00:00,0.045789994
ltc,2013-07-04 00:00:00+00:00,0.03671312
ltc,2013-07-05 00:00:00+00:00,0.031159314
ltc,2013-07-06 00:00:00+00:00,0.051186956
ltc,2013-07-07 00:00:00+00:00,0.037039167
ltc,2013-07-08 00:00:00+00:00,0.036520712
ltc,2013-07-09 00:00:00+00:00,0.038447889
