time,high,low,open,close,volu
2017-02-17,1057.39,1025.87,1031.93,1049.41,45711.79
2017-02-18,1063.21,1044.68,1049.41,1052.28,25362.02
2017-02-19,1056.48,1037.67,1052.28,1048.89,17953.15
2017-02-20,1081.78,1040.99,1048.89,1077.56,31010.85
2017-02-21,1123.03,1073.54,1077.56,1119.03,57048.87
2017-02-22,1132.25,1094.83,1119.03,1120.46,47913.31
2017-02-23,1181.6,1113.54,1120.46,1171.91,65737.1
2017-02-24,1211.74,1092.41,1171.91,1176.49,108170.88
2017-02-25,1180.01,1116.21,1176.49,1149.05,45860.52
2017-02-26,1177.47,1130.61,1149.05,1171.58,30764.77
2017-02-27,1195.82,1164.27,1171.58,1188.83,35468.84
2017-02-28,1208.22,1175.75,1188.83,1189.27,50579.83
2017-03-01,1225.04,1154.55,1189.27,1222.66,51153.83
2017-03-02,1286.98,1211.96,1222.66,1255.47,78492.01
2017-03-03,1291.35,1250.8,1255.47,1283.3,67275.49
2017-03-04,1285.78,1228.73,1283.3,1264.32,38418.2
2017-03-05,1273.28,1242.1,1264.32,1271.22,25430.23
2017-03-06,1280.61,1261.0,1271.22,1277.01,31026.9
2017-03-07,1280.89,1148.66,1277.01,1232.69,87722.01
2017-03-08,1242.04,1136.88,1232.69,1146.97,97875.25
2017-03-09,1206.97,1129.35,1146.97,1191.33,59860.55
2017-03-10,1330.42,988.69,1191.33,1112.39,190472.52
2017-03-11,1202.69,1104.78,1112.39,1179.22,70747.22
2017-03-12,1235.46,1160.9,1179.22,1225.11,44412.09
2017-03-13,1245.63,1205.61,1225.11,1238.19,60460.94
2017-03-14,1255.52,1218.38,1238.19,1243.14,45142.05
2017-03-15,1256.95,1236.43,1243.14,1253.43,43592.4
2017-03-16,1260.24,1118.96,1253.43,1172.88,132773.3
2017-03-17,1174.9,1063.48,1172.88,1071.71,163739.0
2017-03-18,1103.61,940.18,1071.71,971.38,210424.36
2017-03-19,1063.67,967.31,971.38,1022.6,106444.72
2017-03-20,1057.5,1005.05,1022.6,1047.51,61431.4
2017-03-21,1125.53,1043.87,1047.51,1121.29,92591.27
2017-03-22,1121.88,997.78,1121.29,1044.72,115286.08
2017-03-23,1062.79,1022.02,1044.72,1035.03,56517.89
2017-03-24,1038.38,927.35,1035.03,939.7,132599.72
2017-03-25,995.96,890.43,939.7,966.3,127044.59
2017-03-26,1004.32,946.65,966.3,969.44,85332.41
2017-03-27,1048.85,961.8,969.44,1045.14,91256.43
