time,high,low,open,close,volu
2017-02-17,3.88,3.753,3.839,3.833,73493.59
2017-02-18,3.862,3.752,3.833,3.776,53314.92
2017-02-19,3.79,3.723,3.776,3.754,75223.93
2017-02-20,3.79,3.695,3.754,3.735,136386.22
2017-02-21,3.81,3.72,3.735,3.776,155651.65
2017-02-22,3.836,3.445,3.776,3.796,181410.6
2017-02-23,3.899,3.778,3.796,3.796,111006.61
2017-02-24,3.91,3.721,3.796,3.868,174656.19
2017-02-25,3.972,3.75,3.929,3.883,185289.44
2017-02-26,3.873,3.779,3.854,3.818,63191.44
2017-02-27,3.871,3.793,3.818,3.829,133080.3
2017-02-28,3.878,3.751,3.838,3.794,161421.02
2017-03-01,3.872,3.751,3.773,3.804,109981.1
2017-03-02,4.352,3.783,3.804,3.96,568259.54
2017-03-03,4.13,3.937,3.96,4.024,213544.7
2017-03-04,4.061,3.906,4.024,3.976,75332.08
2017-03-05,4.0,3.905,3.976,3.969,71886.78
2017-03-06,4.066,3.934,3.969,4.047,98688.3
2017-03-07,4.091,3.903,4.047,3.965,117704.6
2017-03-08,3.976,3.779,3.965,3.804,101915.52
2017-03-09,3.922,3.796,3.804,3.885,105012.58
2017-03-10,3.999,3.696,3.885,3.776,344511.32
2017-03-11,3.886,3.733,3.776,3.8,123000.2
2017-03-12,3.914,3.776,3.8,3.867,121530.65
2017-03-13,5.232,3.823,3.867,4.358,847383.35
2017-03-14,4.379,4.027,4.358,4.173,388433.27
2017-03-15,4.375,4.016,4.173,4.262,379475.6
2017-03-16,4.587,4.16,4.262,4.325,734977.57
2017-03-17,4.417,4.072,4.325,4.204,490249.11
2017-03-18,4.352,3.85,4.204,4.048,664074.32
2017-03-19,4.174,3.915,4.048,3.983,262223.25
2017-03-20,4.149,3.902,3.983,4.121,164340.31
2017-03-21,4.155,4.014,4.121,4.09,193258.12
2017-03-22,4.106,3.878,4.09,3.976,333168.96
2017-03-23,4.099,3.94,3.976,4.02,125988.06
2017-03-24,4.368,3.977,4.02,4.177,602115.7
2017-03-25,4.283,4.011,4.177,4.125,345085.76
2017-03-26,4.163,3.933,4.092,4.107,322174.32
2017-03-27,4.204,4.061,4.099,4.105,197973.89
2017-03-28,4.328,4.084,4.105,4.196,150308.21
2017-03-29,4.407,4.138,4.196,4.319,252804.25
2017-03-30,8.226,4.29,4.319,7.504,6210643.03
2017-03-31,7.815,5.888,7.504,7.103,3151250.45
2017-04-01,7.614,6.473,7.103,7.479,1588556.39
2017-04-02,8.564,7.036,7.479,8.224,2693165.21
2017-04-03,9.273,7.478,8.224,8.574,2568365.73
2017-04-04,9.478,8.185,8.574,8.969,2404345.59
2017-04-05,12.85,8.816,8.969,12.39,4955100.38
2017-04-06,12.62,9.825,12.39,10.7,4377216.61
2017-04-07,11.27,9.403,10.7,9.887,2169898.73
2017-04-08,11.22,9.777,9.887,10.66,1161955.49
2017-04-09,10.94,8.71,10.66,9.206,2234560.38
2017-04-10,10.12,8.841,9.206,9.799,1425989.85
2017-04-11,10.32,9.369,9.799,9.665,910193.61
2017-04-12,12.16,9.621,9.665,11.6,3144375.43
2017-04-13,11.72,10.69,11.6,11.06,1091425.19
2017-04-14,11.91,10.99,11.06,11.67,999717.53
2017-04-15,12.2,10.99,11.67,11.67,974566.92
2017-04-16,11.86,11.51,11.67,11.73,337748.93
2017-04-17,12.81,10.54,11.73,11.26,1956876.87
2017-04-18,11.59,10.48,11.26,11.06,1706501.32
2017-04-19,11.21,9.983,11.06,10.29,1129200.76
2017-04-20,11.45,10.1,10.29,10.97,1197400.83
2017-04-21,12.47,10.84,10.97,12.0,1958745.07
2017-04-22,14.51,11.83,12.0,14.05,3055822.64
2017-04-23,15.74,13.86,14.05,15.15,3497806.17
2017-04-24,15.31,14.13,15.15,14.87,1387915.53
2017-04-25,15.26,14.08,14.87,15.06,1268246.43
2017-04-26,15.86,14.48,15.06,14.89,1698891.27
2017-04-27,15.16,13.35,14.89,14.66,1755223.79
2017-04-28,14.83,13.81,14.66,14.25,867596.14
2017-04-29,15.79,14.28,14.25,15.75,977777.69
2017-04-30,16.09,15.29,15.75,15.63,962774.12
2017-05-01,16.25,14.95,15.63,15.74,1309033.55
2017-05-02,15.88,14.94,15.74,15.57,680255.23
2017-05-03,26.52,15.51,15.57,20.53,4355708.31
2017-05-04,26.68,20.35,20.53,22.95,4406989.88
2017-05-05,27.16,22.41,22.95,25.2,3182968.53
2017-05-06,27.93,24.81,25.2,27.46,1446194.63
2017-05-07,30.91,27.3,27.46,29.5,2189348.96
2017-05-08,29.83,27.11,29.5,28.1,1481250.67
2017-05-09,32.44,23.28,28.1,31.77,3165969.12
2017-05-10,36.47,29.04,31.77,31.28,3749249.48
2017-05-11,32.08,26.98,31.28,29.88,2127559.8
2017-05-12,30.78,25.56,29.88,26.76,1678280.4
2017-05-13,28.18,24.47,26.76,28.14,1307096.48
2017-05-14,29.86,26.79,28.14,28.07,948382.95
2017-05-15,28.09,23.23,28.07,24.5,1452780.05
2017-05-16,25.15,20.92,24.5,22.83,2254474.46
2017-05-17,26.0,20.32,22.83,25.06,2519724.28
2017-05-18,28.79,24.44,25.06,27.88,1721363.45
2017-05-19,28.2,26.19,27.88,27.27,1358547.95
2017-05-20,28.17,26.66,27.27,27.42,744374.3
2017-05-21,28.54,25.26,27.42,26.02,1255850.56
2017-05-22,26.7,22.82,26.02,24.79,2143563.29
2017-05-23,31.72,24.4,24.79,31.36,2426931.59
2017-05-24,35.94,29.85,31.36,34.8,2329423.55
2017-05-25,35.76,26.07,34.8,28.32,2655714.72
2017-05-26,31.35,23.35,28.32,24.45,2293954.54
2017-05-27,25.94,18.13,24.45,22.83,2924934.35
2017-05-28,25.92,21.79,22.83,23.89,1600758.66
2017-05-29,25.99,23.01,23.89,25.33,1019676.88
2017-05-30,26.33,23.54,25.33,23.89,1156827.3
2017-05-31,25.99,23.51,23.89,25.91,1021629.99
2017-06-01,29.61,25.77,25.91,27.55,1823401.75
2017-06-02,28.65,26.78,27.55,28.27,813270.71
2017-06-03,28.56,26.81,28.27,27.27,615398.94
2017-06-04,27.93,26.86,27.27,27.89,577995.32
2017-06-05,31.62,27.85,27.89,30.78,1365183.65
2017-06-06,31.19,28.32,30.78,30.07,1441633.22
2017-06-07,30.57,27.88,30.07,28.47,874974.15
2017-06-08,30.39,27.8,28.47,29.9,852555.85
2017-06-09,30.63,29.51,29.9,29.54,731241.68
2017-06-10,30.31,29.39,29.54,30.06,810634.63
2017-06-11,34.43,29.65,30.06,33.63,1650413.18
2017-06-12,33.7,27.09,33.63,28.98,1885099.56
2017-06-13,30.61,28.74,28.98,30.38,762018.85
2017-06-14,31.81,27.96,30.38,29.19,1375707.32
2017-06-15,29.79,25.45,29.19,29.29,1544855.21
2017-06-16,34.18,28.32,29.29,34.12,1710350.24
2017-06-17,47.7,34.12,34.12,45.8,5016967.39
2017-06-18,45.81,39.49,45.8,43.8,2478772.85
2017-06-19,50.14,42.45,43.8,47.37,2886672.05
2017-06-20,48.32,43.29,47.37,45.68,1491973.88
2017-06-21,46.75,42.85,45.68,44.5,1206561.46
2017-06-22,47.91,43.21,44.5,46.16,982111.44
2017-06-23,46.98,45.48,46.16,46.0,522043.52
2017-06-24,46.09,42.04,46.0,42.7,804547.36
2017-06-25,44.02,39.33,42.7,41.28,986926.56
2017-06-26,42.21,34.43,41.28,38.53,1779942.06
2017-06-27,40.24,34.19,38.53,40.24,1403159.72
2017-06-28,43.1,37.95,40.24,41.89,1169845.97
2017-06-29,41.94,39.45,41.89,40.13,638781.54
2017-06-30,41.22,39.29,40.13,39.48,521878.48
2017-07-01,39.7,37.12,39.48,38.08,520504.4
2017-07-02,41.65,36.87,38.08,41.26,682570.75
2017-07-03,47.56,40.36,41.26,45.34,1833533.57
2017-07-04,54.82,45.34,45.34,54.51,2676871.93
2017-07-05,56.58,49.11,54.51,52.92,1864947.31
2017-07-06,52.98,49.79,52.92,51.04,840271.42
2017-07-07,51.18,44.47,51.04,46.1,1745425.55
2017-07-08,52.11,44.33,46.1,51.22,1293429.49
2017-07-09,52.4,48.32,51.22,48.63,861130.65
2017-07-10,49.66,42.68,48.63,45.0,1438096.31
2017-07-11,46.69,41.84,45.0,43.98,1506683.17
2017-07-12,48.38,42.4,43.98,47.14,1314367.81
2017-07-13,47.66,44.07,47.14,45.69,740592.9
2017-07-14,45.96,39.96,45.69,42.46,1243452.92
2017-07-15,42.68,37.7,42.46,38.41,1402645.69
2017-07-16,41.81,35.49,38.41,40.7,1693715.76
2017-07-17,42.98,39.91,40.7,42.17,1442921.42
2017-07-18,44.84,40.74,42.17,43.35,1322076.05
2017-07-19,43.77,39.82,43.35,40.11,988347.66
2017-07-20,45.23,40.11,40.11,44.35,1420088.03
2017-07-21,47.31,43.99,44.35,45.2,1121739.77
2017-07-22,47.11,44.88,45.2,46.47,499635.51
2017-07-23,46.67,43.63,46.47,44.67,625908.97
2017-07-24,45.28,43.85,44.67,44.77,446798.44
2017-07-25,45.05,40.52,44.77,42.3,1002897.84
2017-07-26,43.09,40.47,42.3,42.03,591939.55
2017-07-27,42.41,40.89,42.03,41.89,487374.16
2017-07-28,42.19,40.17,41.89,40.43,616859.99
2017-07-29,41.4,38.55,40.43,41.07,544633.83
2017-07-30,42.05,39.82,41.07,40.61,363404.03
2017-07-31,43.57,38.45,40.61,42.38,893892.82
2017-08-01,43.93,41.11,42.38,43.16,932670.29
2017-08-02,43.19,41.66,43.16,41.92,474729.29
2017-08-03,43.18,41.8,41.92,42.75,329595.07
2017-08-04,43.77,42.41,42.75,43.31,377407.48
2017-08-05,47.23,43.21,43.31,46.24,880132.49
2017-08-06,46.88,45.16,46.24,45.56,447306.19
2017-08-07,46.7,45.21,45.56,46.11,432033.81
2017-08-08,49.93,45.69,46.11,49.13,806041.04
2017-08-09,50.2,46.9,49.13,47.78,745195.68
2017-08-10,48.68,46.97,47.78,46.97,392052.42
2017-08-11,47.62,46.63,46.97,47.11,448579.01
2017-08-12,47.77,46.0,47.11,46.27,556583.31
2017-08-13,47.43,44.0,46.27,45.49,766715.89
2017-08-14,46.56,45.15,45.49,45.7,426212.9
2017-08-15,45.8,41.78,45.7,43.17,780853.12
2017-08-16,44.94,42.1,43.17,43.97,509014.15
2017-08-17,44.74,43.13,43.97,43.83,425047.05
2017-08-18,47.92,43.23,43.83,46.74,888951.07
2017-08-19,46.89,43.39,46.74,45.19,457998.6
2017-08-20,47.39,44.07,45.19,45.81,384435.33
2017-08-21,48.94,45.27,45.81,48.09,640039.35
2017-08-22,48.1,44.85,48.09,46.4,611195.45
2017-08-23,55.43,46.05,46.4,53.44,1634534.74
2017-08-24,53.58,50.34,53.44,50.36,1089289.29
