asset,time,FeeMeanUSD
btc,2011-01-01 00:00:00+00:00,5.65E-05
btc,2011-01-02 00:00:00+00:00,6.29E-05
btc,2011-01-03 00:00:00+00:00,0.000215481
btc,2011-01-04 00:00:00+00:00,1.34E-05
btc,2011-01-05 00:00:00+00:00,2.23E-05
btc,2011-01-06 00:00:00+00:00,5.34E-05
btc,2011-01-07 00:00:00+00:00,1.57E-05
btc,2011-01-08 00:00:00+00:00,4.68E-06
btc,2011-01-09 00:00:00+00:00,4.55E-05
btc,2011-01-10 00:00:00+00:00,1.65E-05
btc,2011-01-11 00:00:00+00:00,1.43E-05
btc,2011-01-12 00:00:00+00:00,9.03E-05
btc,2011-01-13 00:00:00+00:00,7.19E-06
btc,2011-01-14 00:00:00+00:00,2.41E-05
btc,2011-01-15 00:00:00+00:00,5.07E-05
btc,2011-01-16 00:00:00+00:00,4.57E-05
btc,2011-01-17 00:00:00+00:00,8.43E-05
btc,2011-01-18 00:00:00+00:00,2.55E-05
btc,2011-01-19 00:00:00+00:00,2.14E-05
btc,2011-01-20 00:00:00+00:00,5.07E-05
btc,2011-01-21 00:00:00+00:00,2.17E-05
btc,2011-01-22 00:00:00+00:00,0.000164395
btc,2011-01-23 00:00:00+00:00,0.000173794
btc,2011-01-24 00:00:00+00:00,8.72E-05
btc,2011-01-25 00:00:00+00:00,6.84E-05
btc,2011-01-26 00:00:00+00:00,0.000255978
btc,2011-01-27 00:00:00+00:00,0.000117171
btc,2011-01-28 00:00:00+00:00,5.09E-05
btc,2011-01-29 00:00:00+00:00,0.000148848
btc,2011-01-30 00:00:00+00:00,0.000515337
btc,2011-01-31 00:00:00+00:00,0.000388794
btc,2011-02-01 00:00:00+00:00,0.000637919
btc,2011-02-02 00:00:00+00:00,5.81E-05
btc,2011-02-03 00:00:00+00:00,0.000173215
btc,2011-02-04 00:00:00+00:00,0.000140383
btc,2011-02-05 00:00:00+00:00,0.000233166
btc,2011-02-06 00:00:00+00:00,0.000132765
btc,2011-02-07 00:00:00+00:00,0.000409617
btc,2011-02-08 00:00:00+00:00,0.000229009
btc,2011-02-09 00:00:00+00:00,6.32E-05
btc,2011-02-10 00:00:00+00:00,0.000467051
btc,2011-02-11 00:00:00+00:00,0.000238351
btc,2011-02-12 00:00:00+00:00,0.000461243
btc,2011-02-13 00:00:00+00:00,0.000163551
btc,2011-02-14 00:00:00+00:00,0.001601499
btc,2011-02-15 00:00:00+00:00,0.000130693
btc,2011-02-16 00:00:00+00:00,0.000325158
btc,2011-02-17 00:00:00+00:00,6.80E-05
btc,2011-02-18 00:00:00+00:00,0.000257552
btc,2011-02-19 00:00:00+00:00,0.000354997
btc,2011-02-20 00:00:00+00:00,0.00024672
btc,2011-02-21 00:00:00+00:00,5.10E-05
btc,2011-02-22 00:00:00+00:00,0.000115255
btc,2011-02-23 00:00:00+00:00,0.000179759
btc,2011-02-24 00:00:00+00:00,7.22E-05
btc,2011-02-25 00:00:00+00:00,0.000228277
btc,2011-02-26 00:00:00+00:00,0.000292541
btc,2011-02-27 00:00:00+00:00,0.000474046
btc,2011-02-28 00:00:00+00:00,0.000335677
btc,2011-03-01 00:00:00+00:00,0.000112995
btc,2011-03-02 00:00:00+00:00,0.000244759
btc,2011-03-03 00:00:00+00:00,0.00218825
btc,2011-03-04 00:00:00+00:00,0.00036248
btc,2011-03-05 00:00:00+00:00,0.001291871
btc,2011-03-06 00:00:00+00:00,0.002592703
btc,2011-03-07 00:00:00+00:00,0.00302589
btc,2011-03-08 00:00:00+00:00,0.001545194
btc,2011-03-09 00:00:00+00:00,0.001653298
btc,2011-03-10 00:00:00+00:00,0.001839228
btc,2011-03-11 00:00:00+00:00,0.002874716
btc,2011-03-12 00:00:00+00:00,0.000491164
btc,2011-03-13 00:00:00+00:00,0.00066364
btc,2011-03-14 00:00:00+00:00,0.000634579
btc,2011-03-15 00:00:00+00:00,0.000531794
btc,2011-03-16 00:00:00+00:00,0.000478507
btc,2011-03-17 00:00:00+00:00,0.000367824
btc,2011-03-18 00:00:00+00:00,0.000427163
btc,2011-03-19 00:00:00+00:00,0.000313224
btc,2011-03-20 00:00:00+00:00,0.000500647
btc,2011-03-21 00:00:00+00:00,0.001213708
btc,2011-03-22 00:00:00+00:00,0.004027501
btc,2011-03-23 00:00:00+00:00,0.003417657
btc,2011-03-24 00:00:00+00:00,0.003603571
btc,2011-03-25 00:00:00+00:00,0.002504273
btc,2011-03-26 00:00:00+00:00,0.00119227
btc,2011-03-27 00:00:00+00:00,0.002245408
btc,2011-03-28 00:00:00+00:00,0.001147929
btc,2011-03-29 00:00:00+00:00,0.001162248
btc,2011-03-30 00:00:00+00:00,0.002081341
btc,2011-03-31 00:00:00+00:00,0.001627493
btc,2011-04-01 00:00:00+00:00,0.001903183
btc,2011-04-02 00:00:00+00:00,0.001369399
btc,2011-04-03 00:00:00+00:00,0.001998862
btc,2011-04-04 00:00:00+00:00,0.001865546
btc,2011-04-05 00:00:00+00:00,0.001914029
btc,2011-04-06 00:00:00+00:00,0.002057861
btc,2011-04-07 00:00:00+00:00,0.001486119
btc,2011-04-08 00:00:00+00:00,0.001971263
btc,2011-04-09 00:00:00+00:00,0.001981397
btc,2011-04-10 00:00:00+00:00,0.002482887
btc,2011-04-11 00:00:00+00:00,0.001857804
btc,2011-04-12 00:00:00+00:00,0.002049956
btc,2011-04-13 00:00:00+00:00,0.001890226
btc,2011-04-14 00:00:00+00:00,0.004698031
btc,2011-04-15 00:00:00+00:00,0.001327486
btc,2011-04-16 00:00:00+00:00,0.002216295
btc,2011-04-17 00:00:00+00:00,0.001120824
btc,2011-04-18 00:00:00+00:00,0.001374914
btc,2011-04-19 00:00:00+00:00,0.001925159
btc,2011-04-20 00:00:00+00:00,0.002888821
btc,2011-04-21 00:00:00+00:00,0.002315657
btc,2011-04-22 00:00:00+00:00,0.003910814
btc,2011-04-23 00:00:00+00:00,0.006105638
btc,2011-04-24 00:00:00+00:00,0.003363855
