Time,Contracts,Funding Interval,Funding Rate
09.08.2022 10:00,LTCUSDT Perpetual,8h,0.01%
09.08.2022 02:00,LTCUSDT Perpetual,8h,0.01%
08.08.2022 18:00,LTCUSDT Perpetual,8h,0.01%
08.08.2022 10:00,LTCUSDT Perpetual,8h,0.01%
08.08.2022 02:00,LTCUSDT Perpetual,8h,0.01%
07.08.2022 18:00,LTCUSDT Perpetual,8h,0.01%
07.08.2022 10:00,LTCUSDT Perpetual,8h,0.01%
07.08.2022 02:00,LTCUSDT Perpetual,8h,0.01%
06.08.2022 18:00,LTCUSDT Perpetual,8h,0.01%
06.08.2022 10:00,LTCUSDT Perpetual,8h,0.01%
06.08.2022 02:00,LTCUSDT Perpetual,8h,0.01%
05.08.2022 18:00,LTCUSDT Perpetual,8h,0.01%
05.08.2022 10:00,LTCUSDT Perpetual,8h,0.01%
05.08.2022 02:00,LTCUSDT Perpetual,8h,0.00%
04.08.2022 18:00,LTCUSDT Perpetual,8h,0.00%
04.08.2022 10:00,LTCUSDT Perpetual,8h,0.01%
04.08.2022 02:00,LTCUSDT Perpetual,8h,0.00%
03.08.2022 18:00,LTCUSDT Perpetual,8h,0.01%
03.08.2022 10:00,LTCUSDT Perpetual,8h,0.01%
03.08.2022 02:00,LTCUSDT Perpetual,8h,0.00%
02.08.2022 18:00,LTCUSDT Perpetual,8h,0.01%
02.08.2022 10:00,LTCUSDT Perpetual,8h,-0.01%
02.08.2022 02:00,LTCUSDT Perpetual,8h,0.00%
01.08.2022 18:00,LTCUSDT Perpetual,8h,0.01%
01.08.2022 10:00,LTCUSDT Perpetual,8h,0.01%
01.08.2022 02:00,LTCUSDT Perpetual,8h,0.01%
31.07.2022 18:00,LTCUSDT Perpetual,8h,0.01%
31.07.2022 10:00,LTCUSDT Perpetual,8h,0.01%
31.07.2022 02:00,LTCUSDT Perpetual,8h,0.01%
30.07.2022 18:00,LTCUSDT Perpetual,8h,0.01%
30.07.2022 10:00,LTCUSDT Perpetual,8h,0.01%
30.07.2022 02:00,LTCUSDT Perpetual,8h,0.01%
29.07.2022 18:00,LTCUSDT Perpetual,8h,0.01%
29.07.2022 10:00,LTCUSDT Perpetual,8h,0.01%
29.07.2022 02:00,LTCUSDT Perpetual,8h,0.01%
28.07.2022 18:00,LTCUSDT Perpetual,8h,0.01%
28.07.2022 10:00,LTCUSDT Perpetual,8h,0.01%
28.07.2022 02:00,LTCUSDT Perpetual,8h,0.01%
27.07.2022 18:00,LTCUSDT Perpetual,8h,0.01%
27.07.2022 10:00,LTCUSDT Perpetual,8h,0.00%
27.07.2022 02:00,LTCUSDT Perpetual,8h,0.00%
26.07.2022 18:00,LTCUSDT Perpetual,8h,0.00%
26.07.2022 10:00,LTCUSDT Perpetual,8h,0.00%
26.07.2022 02:00,LTCUSDT Perpetual,8h,0.00%
25.07.2022 18:00,LTCUSDT Perpetual,8h,0.01%
25.07.2022 10:00,LTCUSDT Perpetual,8h,0.00%
25.07.2022 02:00,LTCUSDT Perpetual,8h,0.01%
24.07.2022 18:00,LTCUSDT Perpetual,8h,0.01%
24.07.2022 10:00,LTCUSDT Perpetual,8h,0.01%
24.07.2022 02:00,LTCUSDT Perpetual,8h,0.01%
23.07.2022 18:00,LTCUSDT Perpetual,8h,0.00%
23.07.2022 10:00,LTCUSDT Perpetual,8h,0.01%
23.07.2022 02:00,LTCUSDT Perpetual,8h,0.01%
22.07.2022 18:00,LTCUSDT Perpetual,8h,0.01%
22.07.2022 10:00,LTCUSDT Perpetual,8h,0.01%
22.07.2022 02:00,LTCUSDT Perpetual,8h,0.01%
21.07.2022 18:00,LTCUSDT Perpetual,8h,0.01%
21.07.2022 10:00,LTCUSDT Perpetual,8h,0.01%
21.07.2022 02:00,LTCUSDT Perpetual,8h,0.01%
20.07.2022 18:00,LTCUSDT Perpetual,8h,0.01%
20.07.2022 10:00,LTCUSDT Perpetual,8h,0.01%
20.07.2022 02:00,LTCUSDT Perpetual,8h,0.01%
19.07.2022 18:00,LTCUSDT Perpetual,8h,0.01%
19.07.2022 10:00,LTCUSDT Perpetual,8h,0.01%
19.07.2022 02:00,LTCUSDT Perpetual,8h,0.01%
18.07.2022 18:00,LTCUSDT Perpetual,8h,0.01%
18.07.2022 10:00,LTCUSDT Perpetual,8h,0.01%
18.07.2022 02:00,LTCUSDT Perpetual,8h,0.01%
17.07.2022 18:00,LTCUSDT Perpetual,8h,0.01%
17.07.2022 10:00,LTCUSDT Perpetual,8h,0.01%
17.07.2022 02:00,LTCUSDT Perpetual,8h,0.01%
16.07.2022 18:00,LTCUSDT Perpetual,8h,0.01%
16.07.2022 10:00,LTCUSDT Perpetual,8h,0.01%
16.07.2022 02:00,LTCUSDT Perpetual,8h,0.01%
15.07.2022 18:00,LTCUSDT Perpetual,8h,0.01%
15.07.2022 10:00,LTCUSDT Perpetual,8h,0.01%
