"dateTime","high","low","close","usd_volume","numberOfTrades","taker_buy","symbol"
2017-08-17 04:00:00,4313.62,4261.32,4308.83,202366.13839304,171,150952.47794304,"BTCUSDT"
2017-08-17 05:00:00,4328.69,4291.37,4315.32,100304.82356749,102,92608.27972836,"BTCUSDT"
2017-08-17 06:00:00,4345.45,4309.37,4324.35,31282.31266989,36,20795.31722405,"BTCUSDT"
2017-08-17 07:00:00,4349.99,4287.41,4349.99,19241.05829986,25,11291.34701534,"BTCUSDT"
2017-08-17 08:00:00,4377.85,4333.32,4360.69,4239.50358563,28,3552.74681715,"BTCUSDT"
2017-08-17 09:00:00,4445.78,4360,4444,47219.35594369,43,44995.37815745,"BTCUSDT"
2017-08-17 10:00:00,4470,4399.81,4460,110290.72898792,82,96225.97305402,"BTCUSDT"
2017-08-17 11:00:00,4485.39,4427.3,4427.3,120751.56923241,95,116279.95312533,"BTCUSDT"
2017-08-17 12:00:00,4449.56,4411,4411,102126.51858538,108,67947.83408162,"BTCUSDT"
2017-08-17 13:00:00,4459,4411,4459,138976.63943525,118,117910.47559989,"BTCUSDT"
2017-08-17 14:00:00,4485.39,4435.93,4470.82,230871.45336595,234,173092.11679983,"BTCUSDT"
2017-08-17 15:00:00,4470.82,4333.42,4352.34,302264.18693068,398,196469.33157976,"BTCUSDT"
2017-08-17 16:00:00,4354.35,4255.3,4354.18,290623.45048301,398,168418.36937701,"BTCUSDT"
2017-08-17 17:00:00,4354.84,4235.45,4289.24,256886.35258979,192,168263.66782268,"BTCUSDT"
2017-08-17 18:00:00,4302.45,4218.68,4256.97,218259.35882004,194,191655.18156963,"BTCUSDT"
2017-08-17 19:00:00,4335.3,4200.74,4325.23,199521.93691082,202,179470.98215222,"BTCUSDT"
2017-08-17 20:00:00,4354.84,4258.56,4346.74,210548.88092307,247,184311.30549668,"BTCUSDT"
2017-08-17 21:00:00,4369.69,4309.23,4333.55,268284.94176586,248,222120.07593626,"BTCUSDT"
2017-08-17 22:00:00,4359.13,4310,4336.8,248368.27973462,236,191898.14848559,"BTCUSDT"
2017-08-17 23:00:00,4337.38,4280.82,4285.08,352342.56050766,270,279957.4386381,"BTCUSDT"
2017-08-18 00:00:00,4340.62,4228.76,4286.53,353504.41040862,268,303212.28430877,"BTCUSDT"
2017-08-18 01:00:00,4269.36,4134.61,4243.59,318327.52941463,243,192407.48893145,"BTCUSDT"
2017-08-18 02:00:00,4298.64,4234,4267.59,230478.62808651,219,197398.07655664,"BTCUSDT"
2017-08-18 03:00:00,4308.7,4234,4292.39,273495.00647977,306,222560.20419967,"BTCUSDT"
2017-08-18 04:00:00,4292.39,4234.43,4287.92,216512.63303465,267,195365.98936529,"BTCUSDT"
2017-08-18 05:00:00,4340.62,4250.04,4313.56,275592.04872693,367,197155.27039055,"BTCUSDT"
2017-08-18 06:00:00,4316.98,4247.75,4279.46,275244.60218846,298,203346.94290268,"BTCUSDT"
2017-08-18 07:00:00,4304.67,4270.48,4300.25,296605.4422175,203,276540.54910541,"BTCUSDT"
2017-08-18 08:00:00,4320.71,4259.85,4282.73,321236.59479609,247,282308.78233271,"BTCUSDT"
2017-08-18 09:00:00,4327.25,4265.33,4304.15,196295.12733713,228,176048.32145689,"BTCUSDT"
2017-08-18 10:00:00,4371.52,4296.04,4356.31,223589.16829124,227,172070.12165097,"BTCUSDT"
2017-08-18 11:00:00,4357.37,4302.72,4340.31,104474.97561834,178,89734.11536502,"BTCUSDT"
2017-08-18 12:00:00,4340.31,4287.79,4331.71,65468.18474894,96,59957.88187984,"BTCUSDT"
2017-08-18 13:00:00,4318.16,4221.05,4293.09,199050.62300749,177,155292.00404024,"BTCUSDT"
2017-08-18 14:00:00,4293.09,4193.7,4259.4,315639.90667257,225,271468.25506762,"BTCUSDT"
2017-08-18 15:00:00,4259.4,4200,4236.89,169299.81132961,199,139565.93334149,"BTCUSDT"
2017-08-18 16:00:00,4283.79,4234.54,4250.34,191824.09143422,197,170218.42018124,"BTCUSDT"
2017-08-18 17:00:00,4250.34,4066.53,4193.35,263339.89958132,164,199390.75512451,"BTCUSDT"
2017-08-18 18:00:00,4297.75,4117.41,4117.41,105261.88964225,174,98003.741224,"BTCUSDT"
2017-08-18 19:00:00,4136.48,4015.7,4136.28,246905.17944138,218,173482.04639273,"BTCUSDT"
2017-08-18 20:00:00,4135,3981.13,4021.11,80574.64559965,155,44057.0001952,"BTCUSDT"
2017-08-18 21:00:00,4015.4,3938.77,3975.69,58543.24828101,154,40961.50202125,"BTCUSDT"
2017-08-18 22:00:00,4131.83,3938.77,4113.75,120902.09262269,209,109214.87055138,"BTCUSDT"
2017-08-18 23:00:00,4136.48,4085.88,4108.37,184792.56721051,214,159362.75993253,"BTCUSDT"
2017-08-19 00:00:00,4178.31,4084.28,4163.49,170057.40754781,196,141301.03704541,"BTCUSDT"
2017-08-19 01:00:00,4184.69,4143.11,4148.53,120196.96993193,146,107902.47709779,"BTCUSDT"
2017-08-19 02:00:00,4184,4148.53,4156.39,77993.67617113,121,62830.6958789,"BTCUSDT"
2017-08-19 03:00:00,4180,4103.52,4138.55,81103.36858374,122,70627.43453062,"BTCUSDT"
2017-08-19 04:00:00,4156,4046.26,4068.26,71543.77215114,98,48288.45650424,"BTCUSDT"
2017-08-19 05:00:00,4123.95,4027.83,4077,51244.65338363,66,39084.7048177,"BTCUSDT"
2017-08-19 06:00:00,4082,3986.87,3986.87,208849.63160484,167,126767.85386084,"BTCUSDT"
2017-08-19 07:00:00,4033.47,3933.21,4033.47,125576.69706673,162,96819.49304287,"BTCUSDT"
2017-08-19 08:00:00,4064.84,3964.08,3999,72459.21855918,112,43449.86340955,"BTCUSDT"
2017-08-19 09:00:00,4082.25,3999,4068.2,20895.48847039,48,13863.39985232,"BTCUSDT"
2017-08-19 10:00:00,4082,3982.08,4000.58,23709.85973791,59,17280.02248593,"BTCUSDT"
2017-08-19 11:00:00,4033,3850,3957.6,190751.80134652,262,102452.57909646,"BTCUSDT"
2017-08-19 12:00:00,4095,3928.89,4095,89837.07717694,173,64139.15783396,"BTCUSDT"
2017-08-19 13:00:00,4100,4035.49,4039.84,51761.33454379,54,35874.00302219,"BTCUSDT"
2017-08-19 14:00:00,4068.31,4013.7,4042.41,17524.48067602,34,13738.04315812,"BTCUSDT"
2017-08-19 15:00:00,4063.44,3964.67,3972.05,33201.04439541,59,23279.32328433,"BTCUSDT"
2017-08-19 16:00:00,4049.69,3953.4,4000,16307.55382071,39,10896.53006416,"BTCUSDT"
2017-08-19 17:00:00,4048.99,3976.72,4027.37,12263.24524165,25,8812.37707512,"BTCUSDT"
2017-08-19 18:00:00,4096,4013.69,4086.29,69270.61900105,75,55462.50713029,"BTCUSDT"
2017-08-19 19:00:00,4103.92,4073.47,4076.12,6637.28485963,22,5885.20597736,"BTCUSDT"
2017-08-19 20:00:00,4103.92,4051.47,4075.98,12154.59138449,34,5686.41545392,"BTCUSDT"
2017-08-19 21:00:00,4149.99,4074.23,4074.23,16200.70034813,35,14269.59204813,"BTCUSDT"
2017-08-19 22:00:00,4141,4090,4139.98,9725.38785592,36,9072.82585432,"BTCUSDT"
2017-08-19 23:00:00,4139.98,4120.78,4139.98,217.87156282,8,217.87156282,"BTCUSDT"
2017-08-20 00:00:00,4139.98,4044,4086.09,9598.79150213,25,8892.22865013,"BTCUSDT"
