"dateTime","high","low","close","usd_volume","numberOfTrades","taker_buy","symbol"
2017-08-17 04:00:00,302.57,298,301.61,37684.804181,129,24193.440789,"ETHUSDT"
2017-08-17 05:00:00,303.28,300,303.1,114043.2826764,202,99079.8035686,"ETHUSDT"
2017-08-17 06:00:00,304.44,301.9,302.68,92034.4412939,182,78525.9486127,"ETHUSDT"
2017-08-17 07:00:00,307.96,302.6,307.96,229725.1369672,198,180297.9669609,"ETHUSDT"
2017-08-17 08:00:00,309.97,307,308.62,46559.4623707,182,43451.4953978,"ETHUSDT"
2017-08-17 09:00:00,312,308.62,310,145510.063225,198,136034.1577083,"ETHUSDT"
2017-08-17 10:00:00,310.97,308.54,309.3,88083.8664,198,81938.8600626,"ETHUSDT"
2017-08-17 11:00:00,310.68,307.78,308.95,84391.9244058,197,77163.089515,"ETHUSDT"
2017-08-17 12:00:00,310.51,307.98,308.62,124016.8229652,232,117937.5824272,"ETHUSDT"
2017-08-17 13:00:00,309.72,307.77,309.4,95966.3789217,231,91702.629035,"ETHUSDT"
2017-08-17 14:00:00,308.71,305.49,306.5,218060.0493271,243,192533.05544,"ETHUSDT"
2017-08-17 15:00:00,308.76,303.56,307.06,140601.6806764,434,133453.8731169,"ETHUSDT"
2017-08-17 16:00:00,312.18,298.21,308,182453.7846001,422,156798.0272299,"ETHUSDT"
2017-08-17 17:00:00,308.33,303.98,308.33,58976.5722809,178,57573.1365117,"ETHUSDT"
2017-08-17 18:00:00,311.53,298.96,309.1,62722.6365026,183,58034.0742837,"ETHUSDT"
2017-08-17 19:00:00,309.84,301.6,301.6,66056.0580836,174,64140.9417568,"ETHUSDT"
2017-08-17 20:00:00,309.4,299.01,304.79,82882.4936348,241,72453.0283972,"ETHUSDT"
2017-08-17 21:00:00,309.4,304.04,307.44,101419.0458485,255,84807.4651224,"ETHUSDT"
2017-08-17 22:00:00,310.74,303.44,306.74,113373.2170421,222,98807.9631269,"ETHUSDT"
2017-08-17 23:00:00,310.85,302,302,70093.5789536,221,59778.8294676,"ETHUSDT"
2017-08-18 00:00:00,306.2,297.4,301.19,151407.1215061,244,121075.3538884,"ETHUSDT"
2017-08-18 01:00:00,305.55,295.19,298.73,112326.1799837,211,104986.6587293,"ETHUSDT"
2017-08-18 02:00:00,304.7,298.73,300.52,63098.5825677,177,58588.7130607,"ETHUSDT"
2017-08-18 03:00:00,306.47,300.05,301.4,183852.1818643,327,100452.8026966,"ETHUSDT"
2017-08-18 04:00:00,302.95,298.41,301.8,133774.8462397,227,113783.4983811,"ETHUSDT"
2017-08-18 05:00:00,305.92,300,304.7,159515.2839358,337,143786.3772798,"ETHUSDT"
2017-08-18 06:00:00,307,303.21,307,108751.7696297,298,102752.3997683,"ETHUSDT"
2017-08-18 07:00:00,309.49,305.23,306.24,125068.7082843,206,119673.0037495,"ETHUSDT"
2017-08-18 08:00:00,310.85,303.79,304.23,96663.3590381,229,83204.7712453,"ETHUSDT"
2017-08-18 09:00:00,307.72,303.22,304.71,93189.1244666,239,86754.7788714,"ETHUSDT"
2017-08-18 10:00:00,311.06,304.73,308.88,102119.4203451,226,91421.6881253,"ETHUSDT"
2017-08-18 11:00:00,311.79,306.27,307.78,80940.0971408,190,65992.146904,"ETHUSDT"
2017-08-18 12:00:00,310.29,305.73,308.47,119593.4610073,227,94607.5712772,"ETHUSDT"
2017-08-18 13:00:00,309.66,301.3,303.22,109071.071693,229,90173.3430929,"ETHUSDT"
2017-08-18 14:00:00,303.22,296.32,298.52,119383.7094577,238,111143.1284128,"ETHUSDT"
2017-08-18 15:00:00,300.99,297.32,298.8,64155.4667363,188,56981.7571569,"ETHUSDT"
2017-08-18 16:00:00,301.11,295.64,299.21,121118.9559656,219,109178.1787437,"ETHUSDT"
2017-08-18 17:00:00,299.21,293.18,295.53,106685.9303509,179,99709.2136328,"ETHUSDT"
2017-08-18 18:00:00,298.25,289.75,289.75,121210.6946657,228,90336.6729234,"ETHUSDT"
2017-08-18 19:00:00,295.6,287.37,293.83,129850.3304485,259,86725.4956437,"ETHUSDT"
2017-08-18 20:00:00,295.46,288.25,291.87,217316.0046309,276,88446.7866493,"ETHUSDT"
2017-08-18 21:00:00,291.87,283.94,286.3,173970.7172291,279,135008.8689889,"ETHUSDT"
2017-08-18 22:00:00,294.19,284.02,293.74,138454.3306787,296,76362.9275342,"ETHUSDT"
2017-08-18 23:00:00,294.18,289.97,293.96,27429.1614883,129,9667.1244709,"ETHUSDT"
2017-08-19 00:00:00,297.15,293.31,295.44,25343.6466098,128,22227.4414758,"ETHUSDT"
2017-08-19 01:00:00,298.2,294.24,297.19,12408.9970766,41,2380.9797721,"ETHUSDT"
2017-08-19 02:00:00,299.84,296.56,299.84,26034.9669481,84,18339.900965,"ETHUSDT"
2017-08-19 03:00:00,298.64,292.83,293.22,19668.7316982,85,10663.4614495,"ETHUSDT"
2017-08-19 04:00:00,297.19,291.87,291.87,12631.8290738,34,1434.7150006,"ETHUSDT"
2017-08-19 05:00:00,299.9,291.87,293.23,10408.6998986,28,6294.0797216,"ETHUSDT"
2017-08-19 06:00:00,295.56,289.02,289.02,13161.0973017,56,10146.0769275,"ETHUSDT"
2017-08-19 07:00:00,292.17,287.01,290.16,32485.9695133,117,26812.3717295,"ETHUSDT"
2017-08-19 08:00:00,290.16,287,288.4,42805.8121572,119,40388.8690588,"ETHUSDT"
2017-08-19 09:00:00,293.17,287.66,290.3,66172.7714391,137,58169.2005905,"ETHUSDT"
