"dateTime","high","low","close","usd_volume","numberOfTrades","taker_buy","symbol"
2017-12-13 03:00:00,288,272,276,36231.33569,65,3319.17293,"LTCUSDT"
2017-12-13 04:00:00,288,269.99,279,166729.6485,165,37873.64565,"LTCUSDT"
2017-12-13 05:00:00,330,279,302,113009.5642,169,70675.06814,"LTCUSDT"
2017-12-13 06:00:00,304.11,286,291.13,104070.1514,120,28806.18595,"LTCUSDT"
2017-12-13 07:00:00,296,285,287,47851.8288,160,6433.184088,"LTCUSDT"
2017-12-13 08:00:00,290,280.1,280.1,35409.30373,109,7909.848767,"LTCUSDT"
2017-12-13 09:00:00,288.96,278,284.19,26362.38598,102,6968.068002,"LTCUSDT"
2017-12-13 10:00:00,287.4,275.2,275.26,91114.93848,152,43768.77163,"LTCUSDT"
2017-12-13 11:00:00,286.98,270.26,280,35569.87323,112,9853.475457,"LTCUSDT"
2017-12-13 12:00:00,308,280,305,225598.5888,386,95107.64669,"LTCUSDT"
2017-12-13 13:00:00,325,300,318.98,211505.2295,302,125679.1059,"LTCUSDT"
2017-12-13 14:00:00,318.98,291.11,291.11,333514.8562,448,92345.87405,"LTCUSDT"
2017-12-13 15:00:00,307.89,291.11,297,139455.913,261,73565.78852,"LTCUSDT"
2017-12-13 16:00:00,297.9,287.54,288.01,75583.66223,226,32811.82226,"LTCUSDT"
2017-12-13 17:00:00,301.63,270,282.5,269601.8395,443,124382.2359,"LTCUSDT"
2017-12-13 18:00:00,296,260,279.81,244691.5875,406,115583.6719,"LTCUSDT"
2017-12-13 19:00:00,294,268.89,288.88,132250.0725,260,52153.47175,"LTCUSDT"
2017-12-13 20:00:00,288.88,276,278,151676.148,202,59568.44013,"LTCUSDT"
2017-12-13 21:00:00,292.88,277,288.66,156139.8189,233,73529.64442,"LTCUSDT"
2017-12-13 22:00:00,301,288.66,294,89868.83334,172,59068.29075,"LTCUSDT"
2017-12-13 23:00:00,307.89,286,290.01,84641.42338,216,26766.55839,"LTCUSDT"
2017-12-14 00:00:00,296,283.99,296,76206.16175,160,64557.58282,"LTCUSDT"
2017-12-14 01:00:00,298,291.09,297.49,114066.3546,178,54931.68008,"LTCUSDT"
2017-12-14 02:00:00,299,288.01,288.11,112350.1246,252,76009.32215,"LTCUSDT"
2017-12-14 03:00:00,302.72,288.11,288.11,58442.1035,185,34456.31928,"LTCUSDT"
2017-12-14 04:00:00,294.99,288.11,291.4,104864.9348,198,52461.65621,"LTCUSDT"
2017-12-14 05:00:00,295,283,283.1,96814.30573,239,49831.79132,"LTCUSDT"
2017-12-14 06:00:00,290,283,283,62557.7267,192,30940.52761,"LTCUSDT"
2017-12-14 07:00:00,290,280,283.04,66031.87957,174,21720.82752,"LTCUSDT"
2017-12-14 08:00:00,290,283,286.5,67356.99197,213,25752.26233,"LTCUSDT"
2017-12-14 09:00:00,294.99,280,285.87,96873.64798,207,33390.78903,"LTCUSDT"
2017-12-14 10:00:00,288.97,282.1,287,66469.89272,137,21176.18711,"LTCUSDT"
2017-12-14 11:00:00,288.95,283.61,285,60338.22201,120,33269.55437,"LTCUSDT"
2017-12-14 12:00:00,288.8,282,284,76707.3401,129,55696.41583,"LTCUSDT"
2017-12-14 13:00:00,285.8,275,281.85,173292.7811,365,66440.39556,"LTCUSDT"
2017-12-14 14:00:00,282,260.98,260.98,189147.7639,389,58226.19585,"LTCUSDT"
2017-12-14 15:00:00,279,252,275.01,358649.7632,517,171944.3988,"LTCUSDT"
2017-12-14 16:00:00,278,271.2,273.03,174239.0135,281,60321.28029,"LTCUSDT"
2017-12-14 17:00:00,278.7,265.99,265.99,62644.18401,203,27876.11576,"LTCUSDT"
2017-12-14 18:00:00,275,257.01,261.2,150984.3811,340,40319.65523,"LTCUSDT"
2017-12-14 19:00:00,270,257.5,263.99,88160.78486,318,45203.58224,"LTCUSDT"
2017-12-14 20:00:00,280,263,272.4,118481.5152,316,51924.39868,"LTCUSDT"
2017-12-14 21:00:00,273.8,265,265.3,69298.9406,162,37833.84085,"LTCUSDT"
2017-12-14 22:00:00,270.93,265.3,267.55,121686.1368,212,39288.70149,"LTCUSDT"
2017-12-14 23:00:00,272.4,264.01,272.4,100816.1997,266,43346.74416,"LTCUSDT"
2017-12-15 00:00:00,275.96,268.6,271,79122.36457,229,49528.33293,"LTCUSDT"
2017-12-15 01:00:00,273.09,255.5,259.6,169426.5727,313,23192.16635,"LTCUSDT"
2017-12-15 02:00:00,265,239.99,250.5,290190.127,444,129982.7459,"LTCUSDT"
2017-12-15 03:00:00,274.9,249,268.94,207300.087,389,140665.361,"LTCUSDT"
2017-12-15 04:00:00,280.18,265,265.01,182788.8485,332,112983.4987,"LTCUSDT"
2017-12-15 05:00:00,270.2,262.03,265.6,39110.55116,129,10576.6622,"LTCUSDT"
2017-12-15 06:00:00,275,264.02,268.6,64081.891,203,28402.31686,"LTCUSDT"
2017-12-15 07:00:00,275,262.5,264.99,57960.04601,143,28722.23093,"LTCUSDT"
2017-12-15 08:00:00,272,262.54,265.56,63241.22195,188,39059.88998,"LTCUSDT"
2017-12-15 09:00:00,269,245.79,259.27,162384.4318,211,36207.02979,"LTCUSDT"
2017-12-15 10:00:00,260.3,241,257.2,469070.5218,453,356452.7374,"LTCUSDT"
2017-12-15 11:00:00,261.99,257.12,260.03,27061.93797,102,14609.26067,"LTCUSDT"
2017-12-15 12:00:00,269.1,258,265.1,84841.91463,209,34593.00307,"LTCUSDT"
2017-12-15 13:00:00,302,268.9,289.98,674961.3004,921,432117.2168,"LTCUSDT"
2017-12-15 14:00:00,295.9,280,294.58,316903.9798,497,183273.3266,"LTCUSDT"
2017-12-15 15:00:00,312,290.1,305.5,447766.6601,652,262504.5577,"LTCUSDT"
2017-12-15 16:00:00,314.21,299,307.29,305548.3567,568,202228.5864,"LTCUSDT"
2017-12-15 17:00:00,309.99,294.06,300,187343.6647,303,124139.8713,"LTCUSDT"
2017-12-15 18:00:00,302.99,290,292.54,192716.6226,319,83466.48572,"LTCUSDT"
2017-12-15 19:00:00,303.2,292.48,303.2,116227.3875,271,93169.88399,"LTCUSDT"
2017-12-15 20:00:00,310,300,306.08,223147.5271,363,155965.7652,"LTCUSDT"
2017-12-15 21:00:00,310,300,303.49,139507.8355,233,51807.95772,"LTCUSDT"
2017-12-15 22:00:00,304.89,292.5,294.15,91887.76798,222,23357.29579,"LTCUSDT"
2017-12-15 23:00:00,297.9,291,294,66232.03248,132,21322.78062,"LTCUSDT"
2017-12-16 00:00:00,294,290,293,47428.2826,176,26709.91223,"LTCUSDT"
2017-12-16 01:00:00,305,290.02,301,79214.78518,218,55459.86027,"LTCUSDT"
2017-12-16 02:00:00,305,296.25,296.25,115978.0302,145,41436.66793,"LTCUSDT"
2017-12-16 03:00:00,299.93,291.45,292.49,47242.85723,114,21019.33847,"LTCUSDT"
2017-12-16 04:00:00,296,291,294.04,76966.77976,222,50981.98224,"LTCUSDT"
2017-12-16 05:00:00,299.85,294.02,297.3,67074.60966,168,53932.75413,"LTCUSDT"
2017-12-16 06:00:00,297.3,290.19,291.86,63493.13076,214,13187.06045,"LTCUSDT"
2017-12-16 07:00:00,298,290.02,293.04,52069.79663,176,18493.70635,"LTCUSDT"
