time,high,low,open,close,volu
2022-05-19 14:00:00,70.18,68.65,68.65,69.82,37721.15
2022-05-19 15:00:00,72.23,69.68,69.82,71.99,45283.86
2022-05-19 16:00:00,72.59,70.97,71.99,71.1,30603.5
2022-05-19 17:00:00,71.47,70.53,71.1,71.23,23814.39
2022-05-19 18:00:00,71.42,70.88,71.23,71.32,11669.01
2022-05-19 19:00:00,71.69,70.58,71.32,70.61,16007.73
2022-05-19 20:00:00,71.09,70.57,70.61,71.07,10189.84
2022-05-19 21:00:00,71.41,70.9,71.07,71.38,15286.86
2022-05-19 22:00:00,71.4,70.62,71.38,71.08,9626.64
2022-05-19 23:00:00,72.26,71.06,71.08,72.04,17964.02
2022-05-20 00:00:00,72.06,71.26,72.04,71.91,16335.75
2022-05-20 01:00:00,73.25,71.42,71.91,72.86,18629.53
2022-05-20 02:00:00,72.94,71.87,72.86,72.26,15190.83
2022-05-20 03:00:00,72.43,68.87,72.26,69.21,67231.65
2022-05-20 04:00:00,70.27,69.16,69.21,69.75,33173.74
2022-05-20 05:00:00,70.51,69.28,69.75,70.44,25850.8
2022-05-20 06:00:00,70.12,69.19,70.42,69.61,43200.88
2022-05-20 07:00:00,70.33,69.26,69.63,70.1,20669.75
2022-05-20 08:00:00,70.43,69.66,70.1,69.87,19208.05
2022-05-20 09:00:00,70.7,69.56,69.87,70.51,17013.6
2022-05-20 10:00:00,70.88,70.25,70.51,70.88,8098.4
2022-05-20 11:00:00,71.29,70.1,70.88,71.12,11314.57
2022-05-20 12:00:00,71.16,69.45,71.12,69.95,16693.68
2022-05-20 13:00:00,70.87,69.63,69.95,70.54,18234.48
2022-05-20 14:00:00,70.54,68.12,70.54,68.19,35929.61
2022-05-20 15:00:00,68.21,67.49,68.19,67.81,33325.05
2022-05-20 16:00:00,67.82,66.72,67.81,67.31,32863.44
2022-05-20 17:00:00,67.88,66.97,67.31,67.84,19865.6
2022-05-20 18:00:00,68.0,67.21,67.84,67.79,21646.0
2022-05-20 19:00:00,68.95,67.73,67.79,68.93,13763.06
2022-05-20 20:00:00,69.18,68.28,68.93,68.48,15269.14
2022-05-20 21:00:00,68.92,68.45,68.48,68.64,11830.41
2022-05-20 22:00:00,69.24,68.49,68.64,68.62,14189.24
2022-05-20 23:00:00,69.41,68.38,68.62,68.51,16797.6
2022-05-21 00:00:00,68.79,67.91,68.51,68.56,18197.86
2022-05-21 01:00:00,68.71,67.81,68.56,68.71,14800.92
2022-05-21 02:00:00,69.48,68.5,68.71,69.32,12243.07
2022-05-21 03:00:00,69.74,69.05,69.32,69.71,9248.35
2022-05-21 04:00:00,69.72,69.24,69.71,69.32,7374.41
2022-05-21 05:00:00,69.39,68.79,69.32,69.27,10014.63
2022-05-21 06:00:00,69.62,69.03,69.27,69.19,15957.37
